"datetime","mrt_station","mrt_flow"
2022-06-01 22:00:00,"大橋頭",504
2022-06-01 22:00:00,"松山",850
2022-06-01 23:00:00,"中山",772
2022-06-01 23:00:00,"北投",314
2022-06-01 23:00:00,"北門",146
2022-06-01 23:00:00,"古亭",543
2022-06-01 23:00:00,"士林",376
2022-06-01 23:00:00,"大橋頭",244
2022-06-01 23:00:00,"松山",347
2022-06-02 00:00:00,"中山",415
2022-06-02 00:00:00,"北投",148
2022-06-02 00:00:00,"北門",103
2022-06-02 00:00:00,"古亭",267
2022-06-02 00:00:00,"士林",219
2022-06-02 00:00:00,"大橋頭",99
2022-06-02 00:00:00,"松山",131
2022-06-02 01:00:00,"中山",18
2022-06-02 01:00:00,"北投",9
2022-06-02 01:00:00,"北門",5
2022-06-02 01:00:00,"古亭",5
2022-06-02 01:00:00,"士林",6
2022-06-02 01:00:00,"大橋頭",0
2022-06-02 01:00:00,"松山",1
2022-06-02 05:00:00,"中山",0
2022-06-02 05:00:00,"北投",2
2022-06-02 05:00:00,"北門",0
2022-06-02 05:00:00,"古亭",2
2022-06-02 05:00:00,"士林",7
2022-06-02 05:00:00,"大橋頭",0
2022-06-02 05:00:00,"松山",0
2022-06-02 06:00:00,"中山",405
2022-06-02 06:00:00,"北投",515
2022-06-02 06:00:00,"北門",194
2022-06-02 06:00:00,"古亭",494
2022-06-02 06:00:00,"士林",568
2022-06-02 06:00:00,"大橋頭",289
2022-06-02 06:00:00,"松山",442
2022-06-02 07:00:00,"中山",1356
2022-06-02 07:00:00,"北投",1635
2022-06-02 07:00:00,"北門",1133
2022-06-02 07:00:00,"古亭",2162
2022-06-02 07:00:00,"士林",1986
2022-06-02 07:00:00,"大橋頭",994
2022-06-02 07:00:00,"松山",1948
2022-06-02 08:00:00,"中山",4026
2022-06-02 08:00:00,"北投",2611
2022-06-02 08:00:00,"北門",2307
2022-06-02 08:00:00,"古亭",4706
2022-06-02 08:00:00,"士林",3002
2022-06-02 08:00:00,"大橋頭",1978
2022-06-02 08:00:00,"松山",4593
2022-06-02 09:00:00,"中山",2417
2022-06-02 09:00:00,"北投",1530
2022-06-02 09:00:00,"北門",904
2022-06-02 09:00:00,"古亭",2591
2022-06-02 09:00:00,"士林",1846
2022-06-02 09:00:00,"大橋頭",994
2022-06-02 09:00:00,"松山",2198
2022-06-02 10:00:00,"中山",2154
2022-06-02 10:00:00,"北投",1208
2022-06-02 10:00:00,"北門",560
2022-06-02 10:00:00,"古亭",1661
2022-06-02 10:00:00,"士林",1545
2022-06-02 10:00:00,"大橋頭",669
2022-06-02 10:00:00,"松山",1005
2022-06-02 11:00:00,"中山",2367
2022-06-02 11:00:00,"北投",1071
2022-06-02 11:00:00,"北門",505
2022-06-02 11:00:00,"古亭",1570
2022-06-02 11:00:00,"士林",1479
2022-06-02 11:00:00,"大橋頭",592
2022-06-02 11:00:00,"松山",817
2022-06-02 12:00:00,"中山",2611
2022-06-02 12:00:00,"北投",1176
2022-06-02 12:00:00,"北門",641
2022-06-02 12:00:00,"古亭",1857
2022-06-02 12:00:00,"士林",1620
2022-06-02 12:00:00,"大橋頭",604
2022-06-02 12:00:00,"松山",990
2022-06-02 13:00:00,"中山",2805
2022-06-02 13:00:00,"北投",1202
2022-06-02 13:00:00,"北門",666
2022-06-02 13:00:00,"古亭",1872
2022-06-02 13:00:00,"士林",1699
2022-06-02 13:00:00,"大橋頭",623
2022-06-02 13:00:00,"松山",1060
2022-06-02 14:00:00,"中山",2858
2022-06-02 14:00:00,"北投",984
2022-06-02 14:00:00,"北門",627
2022-06-02 14:00:00,"古亭",1775
2022-06-02 14:00:00,"士林",1454
2022-06-02 14:00:00,"大橋頭",613
2022-06-02 14:00:00,"松山",983
2022-06-02 15:00:00,"中山",2913
2022-06-02 15:00:00,"北投",1033
2022-06-02 15:00:00,"北門",698
2022-06-02 15:00:00,"古亭",1801
2022-06-02 15:00:00,"士林",1472
2022-06-02 15:00:00,"大橋頭",637
2022-06-02 15:00:00,"松山",1094
2022-06-02 16:00:00,"中山",3211
2022-06-02 16:00:00,"北投",1327
2022-06-02 16:00:00,"北門",815
2022-06-02 16:00:00,"古亭",2008
2022-06-02 16:00:00,"士林",1742
2022-06-02 16:00:00,"大橋頭",692
2022-06-02 16:00:00,"松山",1240
2022-06-02 17:00:00,"中山",4591
2022-06-02 17:00:00,"北投",1798
2022-06-02 17:00:00,"北門",1360
2022-06-02 17:00:00,"古亭",3338
2022-06-02 17:00:00,"士林",2800
2022-06-02 17:00:00,"大橋頭",1154
2022-06-02 17:00:00,"松山",2230
2022-06-02 18:00:00,"中山",7144
2022-06-02 18:00:00,"北投",2392
2022-06-02 18:00:00,"北門",2057
2022-06-02 18:00:00,"古亭",5051
2022-06-02 18:00:00,"士林",3529
2022-06-02 18:00:00,"大橋頭",1812
2022-06-02 18:00:00,"松山",4099
2022-06-02 19:00:00,"中山",5497
2022-06-02 19:00:00,"北投",1771
2022-06-02 19:00:00,"北門",1346
2022-06-02 19:00:00,"古亭",3120
2022-06-02 19:00:00,"士林",2357
2022-06-02 19:00:00,"大橋頭",1201
2022-06-02 19:00:00,"松山",3030
2022-06-02 20:00:00,"中山",3625
2022-06-02 20:00:00,"北投",1078
2022-06-02 20:00:00,"北門",699
2022-06-02 20:00:00,"古亭",1981
2022-06-02 20:00:00,"士林",1585
2022-06-02 20:00:00,"大橋頭",820
2022-06-02 20:00:00,"松山",1516
2022-06-02 21:00:00,"中山",3257
2022-06-02 21:00:00,"北投",912
2022-06-02 21:00:00,"北門",568
2022-06-02 21:00:00,"古亭",1747
2022-06-02 21:00:00,"士林",1398
2022-06-02 21:00:00,"大橋頭",752
2022-06-02 21:00:00,"松山",1178
2022-06-02 22:00:00,"中山",2830
2022-06-02 22:00:00,"北投",734
2022-06-02 22:00:00,"北門",411
2022-06-02 22:00:00,"古亭",1457
2022-06-02 22:00:00,"士林",1071
2022-06-02 22:00:00,"大橋頭",612
2022-06-02 22:00:00,"松山",943
2022-06-02 23:00:00,"中山",1045
2022-06-02 23:00:00,"北投",377
2022-06-02 23:00:00,"北門",180
2022-06-02 23:00:00,"古亭",620
2022-06-02 23:00:00,"士林",443
2022-06-02 23:00:00,"大橋頭",351
2022-06-02 23:00:00,"松山",419
2022-06-03 00:00:00,"中山",359
2022-06-03 00:00:00,"北投",139
2022-06-03 00:00:00,"北門",82
2022-06-03 00:00:00,"古亭",236
2022-06-03 00:00:00,"士林",161
2022-06-03 00:00:00,"大橋頭",108
2022-06-03 00:00:00,"松山",168
2022-06-03 01:00:00,"中山",10
2022-06-03 01:00:00,"北投",4
2022-06-03 01:00:00,"北門",3
2022-06-03 01:00:00,"古亭",8
2022-06-03 01:00:00,"士林",3
2022-06-03 01:00:00,"大橋頭",0
2022-06-03 01:00:00,"松山",0
2022-06-03 05:00:00,"中山",0
2022-06-03 05:00:00,"北投",2
2022-06-03 05:00:00,"北門",0
2022-06-03 05:00:00,"古亭",2
2022-06-03 05:00:00,"士林",4
2022-06-03 05:00:00,"大橋頭",0
