"datetime","mrt_station","mrt_flow"
2023-11-02 06:00:00,"北門",4
2023-11-02 06:00:00,"古亭",9
2023-11-02 06:00:00,"士林",5
2023-11-02 06:00:00,"大橋頭",3
2023-11-02 06:00:00,"松山",0
2023-11-02 05:00:00,"中山",0
2023-11-02 05:00:00,"北投",0
2023-11-02 05:00:00,"北門",0
2023-11-02 05:00:00,"古亭",0
2023-11-02 05:00:00,"士林",12
2023-11-02 05:00:00,"大橋頭",0
2023-11-02 05:00:00,"松山",0
2023-11-02 06:00:00,"中山",524
2023-11-02 06:00:00,"北投",1013
2023-11-02 06:00:00,"北門",461
2023-11-02 06:00:00,"古亭",766
2023-11-02 06:00:00,"士林",1033
2023-11-02 06:00:00,"大橋頭",554
2023-11-02 06:00:00,"松山",679
2023-11-02 07:00:00,"中山",2330
2023-11-02 07:00:00,"北投",3856
2023-11-02 07:00:00,"北門",2036
2023-11-02 07:00:00,"古亭",3688
2023-11-02 07:00:00,"士林",4386
2023-11-02 07:00:00,"大橋頭",2305
2023-11-02 07:00:00,"松山",3552
2023-11-02 08:00:00,"中山",6442
2023-11-02 08:00:00,"北投",3995
2023-11-02 08:00:00,"北門",4143
2023-11-02 08:00:00,"古亭",7328
2023-11-02 08:00:00,"士林",4635
2023-11-02 08:00:00,"大橋頭",3198
2023-11-02 08:00:00,"松山",7399
2023-11-02 09:00:00,"中山",3861
2023-11-02 09:00:00,"北投",2438
2023-11-02 09:00:00,"北門",1801
2023-11-02 09:00:00,"古亭",4425
2023-11-02 09:00:00,"士林",3623
2023-11-02 09:00:00,"大橋頭",1532
2023-11-02 09:00:00,"松山",3744
2023-11-02 10:00:00,"中山",3391
2023-11-02 10:00:00,"北投",1633
2023-11-02 10:00:00,"北門",1203
2023-11-02 10:00:00,"古亭",2844
2023-11-02 10:00:00,"士林",2430
2023-11-02 10:00:00,"大橋頭",1171
2023-11-02 10:00:00,"松山",1719
2023-11-02 11:00:00,"中山",3894
2023-11-02 11:00:00,"北投",1586
2023-11-02 11:00:00,"北門",1187
2023-11-02 11:00:00,"古亭",2545
2023-11-02 11:00:00,"士林",2249
2023-11-02 11:00:00,"大橋頭",1051
2023-11-02 11:00:00,"松山",1334
2023-11-02 12:00:00,"中山",4231
2023-11-02 12:00:00,"北投",1497
2023-11-02 12:00:00,"北門",1186
2023-11-02 12:00:00,"古亭",2920
2023-11-02 12:00:00,"士林",2877
2023-11-02 12:00:00,"大橋頭",1023
2023-11-02 12:00:00,"松山",1671
2023-11-02 13:00:00,"中山",4436
2023-11-02 13:00:00,"北投",1549
2023-11-02 13:00:00,"北門",1315
2023-11-02 13:00:00,"古亭",3062
2023-11-02 13:00:00,"士林",2619
2023-11-02 13:00:00,"大橋頭",985
2023-11-02 13:00:00,"松山",1689
2023-11-02 14:00:00,"中山",4337
2023-11-02 14:00:00,"北投",1454
2023-11-02 14:00:00,"北門",1289
2023-11-02 14:00:00,"古亭",2708
2023-11-02 14:00:00,"士林",2469
2023-11-02 14:00:00,"大橋頭",840
2023-11-02 14:00:00,"松山",1453
2023-11-02 15:00:00,"中山",4351
2023-11-02 15:00:00,"北投",1585
2023-11-02 15:00:00,"北門",1298
2023-11-02 15:00:00,"古亭",2723
2023-11-02 15:00:00,"士林",2707
2023-11-02 15:00:00,"大橋頭",975
2023-11-02 15:00:00,"松山",1592
2023-11-02 16:00:00,"中山",5295
2023-11-02 16:00:00,"北投",2225
2023-11-02 16:00:00,"北門",1723
2023-11-02 16:00:00,"古亭",3593
2023-11-02 16:00:00,"士林",3726
2023-11-02 16:00:00,"大橋頭",1388
2023-11-02 16:00:00,"松山",2236
2023-11-02 17:00:00,"中山",7812
2023-11-02 17:00:00,"北投",3360
2023-11-02 17:00:00,"北門",2855
2023-11-02 17:00:00,"古亭",6023
2023-11-02 17:00:00,"士林",5776
2023-11-02 17:00:00,"大橋頭",2474
2023-11-02 17:00:00,"松山",4230
2023-11-02 18:00:00,"中山",11046
2023-11-02 18:00:00,"北投",4026
2023-11-02 18:00:00,"北門",3869
2023-11-02 18:00:00,"古亭",8174
2023-11-02 18:00:00,"士林",6587
2023-11-02 18:00:00,"大橋頭",3039
2023-11-02 18:00:00,"松山",7586
2023-11-02 19:00:00,"中山",7661
2023-11-02 19:00:00,"北投",2528
2023-11-02 19:00:00,"北門",2170
2023-11-02 19:00:00,"古亭",4869
2023-11-02 19:00:00,"士林",4114
2023-11-02 19:00:00,"大橋頭",1712
2023-11-02 19:00:00,"松山",5572
2023-11-02 20:00:00,"中山",5362
2023-11-02 20:00:00,"北投",1715
2023-11-02 20:00:00,"北門",1240
2023-11-02 20:00:00,"古亭",3083
2023-11-02 20:00:00,"士林",2561
2023-11-02 20:00:00,"大橋頭",1209
2023-11-02 20:00:00,"松山",3133
2023-11-02 21:00:00,"中山",5324
2023-11-02 21:00:00,"北投",1618
2023-11-02 21:00:00,"北門",1193
2023-11-02 21:00:00,"古亭",3404
2023-11-02 21:00:00,"士林",2366
2023-11-02 21:00:00,"大橋頭",1156
2023-11-02 21:00:00,"松山",2869
2023-11-02 22:00:00,"中山",3906
2023-11-02 22:00:00,"北投",1205
2023-11-02 22:00:00,"北門",777
2023-11-02 22:00:00,"古亭",2468
2023-11-02 22:00:00,"士林",1790
2023-11-02 22:00:00,"大橋頭",818
2023-11-02 22:00:00,"松山",1911
2023-11-02 23:00:00,"中山",1229
2023-11-02 23:00:00,"北投",421
2023-11-02 23:00:00,"北門",338
2023-11-02 23:00:00,"古亭",757
2023-11-02 23:00:00,"士林",565
2023-11-02 23:00:00,"大橋頭",329
2023-11-02 23:00:00,"松山",708
2023-11-03 07:00:00,"中山",864
2023-11-03 07:00:00,"北投",285
2023-11-03 07:00:00,"北門",206
2023-11-03 07:00:00,"古亭",414
2023-11-03 07:00:00,"士林",342
2023-11-03 07:00:00,"大橋頭",226
2023-11-03 07:00:00,"松山",436
2023-11-03 08:00:00,"中山",33
