"mrt_flow.中山","mrt_flow.北投","mrt_flow.北門","mrt_flow.古亭","mrt_flow.士林","mrt_flow.大橋頭","mrt_flow.松山"
260,284,104,264,296,230,245
362,476,167,470,556,478,441
645,647,296,870,843,398,571
1245,864,385,1048,1238,586,663
2251,966,526,1206,1392,695,769
3613,1162,681,1540,1717,753,997
3532,1092,709,1721,1802,826,1065
4068,1205,827,2003,1847,829,1142
4714,1190,890,1687,1807,799,1132
4810,1112,899,1774,1843,835,1209
4825,1257,863,1828,1884,791,1268
5427,1377,963,2227,2117,997,1335
4637,1290,807,1891,1990,967,1313
3869,1071,680,1599,1655,892,1431
3612,889,585,1542,1357,795,1177
3362,936,470,1360,1325,799,1092
2311,736,331,1108,1002,741,779
770,332,141,508,399,388,421
290,110,57,195,137,83,137
8,3,0,4,1,0,0
0,0,0,0,7,0,0
485,986,256,683,1077,469,584
2011,3522,1440,3419,4531,2355,2772
5465,3307,2976,6499,3905,2792,6183
3174,1780,1302,3886,2736,1248,3086
2354,1118,694,2123,1571,765,1224
2530,1142,547,1866,1484,646,1059
3007,1078,669,2339,1843,792,1115
3017,981,708,2250,1682,663,1133
2979,897,614,1930,1517,633,921
3014,1000,575,2169,1646,767,1099
3706,1824,894,2874,2708,1135,1478
5691,2468,1712,4888,4423,2151,2917
8496,3355,2832,7080,5111,2690,5560
5780,2115,1534,4200,3392,1473,4015
3900,1306,662,2555,1864,850,1753
3366,1099,590,2324,1705,876,1298
2634,882,365,1727,1288,668,941
780,370,127,543,431,261,429
280,131,80,231,133,71,135
495,913,260,667,872,463,527
2040,3569,1526,3504,4448,2225,2830
5612,3562,3206,6865,4269,2940,6560
3399,1884,1272,4122,2988,1358,3338
2539,1086,666,2277,1581,687,1212
2664,941,563,1813,1482,664,883
3170,1033,641,2302,1854,827,1181
3231,1021,718,2382,1871,786,1119
3020,961,651,2091,1621,640,970
3328,1047,706,2288,1875,707,1132
3845,1857,974,3089,2958,1175,1488
5891,2770,1888,5251,4741,2116,3005
9469,3560,2845,7517,5441,2647,5834
6357,2375,1588,4447,3484,1539,4271
4211,1422,747,2725,1998,991,1929
4233,1252,670,2766,1784,900,1516
2994,922,457,1927,1553,707,1127
834,371,143,604,475,255,464
477,1021,249,664,932,493,602
2043,3714,1534,3412,4407,2206,2897
5575,3567,3008,6610,4094,2758,6354
3095,2092,1319,4075,3036,1344,3182
2529,1220,643,2252,1767,864,1262
2885,1187,596,2093,1709,769,1102
3566,1244,715,2618,2157,878,1465
3735,1166,850,2714,2228,867,1268
3553,1099,773,2252,1974,693,1137
3618,1122,781,2326,2090,874,1197
4403,1777,1068,3224,3152,1169,1750
6468,2654,1913,5230,4840,2007,3145
9779,3303,2896,7360,5691,2540,5667
6702,2103,1560,4371,3416,1469,4273
4444,1385,714,2660,2124,896,2025
4253,1286,641,2751,1888,877,1625
3291,964,457,2030,1527,713,1198
971,373,160,659,520,306,477
373,113,83,243,182,122,161
17,18,1,3,2,0,0
2,4,0,0,11,0,0
479,1076,271,682,962,484,578
2009,3712,1546,3511,4411,2205,2917
5486,3615,3121,6608,4150,2728,6329
3304,2072,1286,4023,3164,1409,3164
2655,1377,730,2309,1726,884,1351
3108,1237,668,2037,1784,813,1110
3538,1248,765,2426,2205,866,1276
3578,1160,911,2598,2052,844,1298
3421,1146,799,2241,1958,759,1090
3607,1118,777,2205,2000,835,1211
4188,2043,1119,3156,3159,1279,1704
6398,2846,1899,5057,4850,1994,3164
9804,3576,2868,7364,5866,2710,5710
6615,2361,1583,4259,3574,1455,4177
4473,1480,778,2561,2100,972,2006
4409,1468,652,2820,1969,958,1714
3522,1054,482,2097,1633,693,1290
975,432,195,688,552,313,503
695,195,177,404,294,181,260
26,24,3,11,9,2,1
2,0,0,0,14,0,0
531,1055,268,626,918,500,587
2030,3630,1546,3427,4466,2132,2763
5439,3610,3010,6363,3957,2694,6033
3267,2009,1255,3804,2949,1335,3116
2896,1393,750,2403,1938,814,1302
3472,1348,720,2164,1896,772,1174
3824,1485,867,2672,2358,875,1342
4164,1330,994,2736,2393,926,1357
4254,1201,875,2513,2215,837,1248
4295,1256,970,2647,2380,933,1432
5339,2215,1256,3530,3686,1372,1878
8117,3212,2106,5623,5460,2230,3302
12092,3915,2977,7313,6101,2615,5834
8370,2609,1703,4465,4097,1793,4352
5466,1649,902,2822,2285,1168,2261
5698,1642,803,2928,2295,1156,1932
5066,1331,702,2375,2101,959,1672
1907,582,317,956,771,474,751
655,246,172,390,369,162,281
26,22,13,4,16,3,1
0,0,0,0,7,0,0
395,430,120,435,499,325,323
608,1031,347,1033,1267,787,787
1322,1696,603,2236,1985,789,1102
2082,1853,746,2318,2233,922,1228
3202,1697,801,2313,2376,1048,1227
5140,1837,967,2632,2764,1308,1550
5683,1963,1153,3288,3388,1319,1609
6268,1948,1340,3544,3352,1361,1682
6993,1676,1405,2873,3042,1206,1501
7380,1535,1419,2790,3052,1239,1617
8076,1741,1726,3181,3251,1226,1913
9290,2259,1879,4175,4065,1546,2533
8501,2137,1563,3648,3594,1449,2535
6414,1559,1294,2548,2502,1153,2141
5576,1262,973,2059,2074,968,1959
5251,1305,861,2237,1877,990,2059
4770,1249,643,2024,2119,897,1648
1822,658,339,858,1146,472,922
318,138,89,210,174,114,196
14,6,3,1,0,4,0
0,2,0,0,7,0,0
344,397,108,434,413,311,287
471,706,238,808,868,586,620
959,979,484,1509,1426,544,749
1608,1334,560,1854,1902,790,901
2590,1433,661,1814,2025,841,965
4592,1531,953,2039,2330,991,1214
4584,1483,928,2476,2616,964,1431
5179,1496,1194,2719,2701,1038,1315
5746,1341,1128,2162,2503,871,1256
6462,1535,1329,2250,2541,1010,1276
6361,1612,1261,2468,2651,1034,1434
7387,1906,1326,2972,3352,1366,2147
6393,1780,1215,2628,2921,1255,1913
5009,1500,949,1995,2148,1014,1564
4146,1161,696,1735,1699,926,1451
4007,1072,584,1549,1567,949,1348
2769,805,445,1195,1219,759,942
925,387,198,517,471,318,538
273,104,73,201,176,75,148
13,9,3,2,4,2,0
0,2,0,0,10,0,0
478,1029,258,684,1030,507,553
2012,3639,1506,3234,4598,2152,2770
5358,3506,2967,6427,3986,2756,6119
3087,1966,1253,3695,2860,1265,2950
2503,1264,684,2133,1721,779,1273
2785,1153,628,1865,1665,731,1011
3376,1200,692,2295,2014,769,1154
3255,1155,774,2348,1827,773,1174
3080,1019,730,1941,1723,703,1093
3355,1066,763,2238,1896,793,1143
4068,1987,977,2981,2926,1201,1590
5870,2787,1886,4939,4725,2125,2961
8868,3487,2795,7006,5267,2646,5627
5821,2259,1454,3964,3508,1402,3959
3883,1473,688,2422,1944,895,1793
3637,1278,596,2328,1851,853,1379
2746,979,405,1669,1446,679,1045
856,357,165,549,451,295,448
336,123,88,227,164,87,117
9,12,1,7,0,1,0
0,0,0,0,8,0,0
492,1040,245,738,921,484,546
2025,3599,1560,3393,4574,2210,2823
5524,3666,3028,6722,4074,2801,6207
3249,2091,1301,3998,3003,1321,3079
2429,1336,631,2325,1794,883,1215
2838,1299,588,1944,1732,763,980
3337,1290,778,2379,2205,833,1260
3392,1204,832,2516,1969,845,1229
3244,1082,745,2110,1799,744,1014
3386,1186,806,2265,2080,790,1160
3915,2049,1009,3039,3192,1173,1592
5950,3029,1974,5203,4915,2127,3029
9299,3634,2839,7452,5755,2678,5793
6188,2312,1573,4111,3498,1483,4082
4167,1525,736,2596,2044,939,1905
3981,1351,666,2710,1973,954,1558
3036,1061,446,1947,1536,695,1169
915,409,138,672,481,293,493
407,131,90,243,167,97,140
13,10,1,6,2,3,0
0,4,0,0,10,0,0
490,977,277,731,911,437,536
1996,3612,1522,3287,4398,2148,2770
5527,3807,3079,6524,4105,2806,6400
3302,2088,1215,4069,3068,1325,3106
2295,1367,708,2246,1784,801,1226
3029,1269,599,2024,1784,762,1000
3573,1347,718,2544,2220,887,1239
3773,1269,934,2644,2288,926,1206
3473,1205,770,2223,2037,697,1096
3816,1141,800,2256,2052,884,1237
4387,2037,1054,3148,3159,1262,1612
6444,3036,1949,5159,4960,2158,2923
10002,3704,2865,7222,5721,2514,5806
6360,2356,1551,4391,3443,1515,4018
4306,1531,753,2606,2040,946,2021
4390,1478,657,2706,1921,973,1698
3247,1139,493,1972,1628,739,1166
889,451,180,688,541,286,489
425,162,84,258,184,102,171
16,15,3,3,3,2,0
2,0,0,0,8,0,2
509,1039,283,707,1013,478,567
2019,3728,1512,3391,4265,2266,2792
5503,3671,3132,6568,4133,2725,6154
3437,2078,1292,4016,3043,1345,3120
2720,1355,750,2370,1789,879,1273
3190,1289,616,2073,1828,754,1024
3600,1257,712,2618,2267,836,1210
3583,1168,858,2608,2150,846,1193
3539,1133,675,2138,2063,716,1008
3741,1200,796,2414,2073,792,1183
4361,2013,1034,3096,3074,1199,1542
6725,2990,1950,5149,4824,2035,2913
10087,3629,2865,7247,5673,2703,5794
6579,2337,1540,4292,3812,1538,3965
4493,1554,713,2551,2203,992,2039
4552,1426,675,2696,2023,956,1647
3414,1132,502,2091,1673,730,1314
1055,456,179,718,532,316,476
788,217,195,431,279,194,273
18,21,6,5,10,3,0
0,2,0,0,8,0,0
506,1029,242,705,938,484,551
2032,3569,1526,3437,4383,2172,2696
5393,3564,2938,6290,4069,2686,5992
3250,2092,1257,3923,2952,1330,2996
2869,1469,758,2415,1973,862,1277
3652,1383,670,2153,1993,913,1033
3900,1436,854,2722,2359,903,1296
4250,1337,1062,2828,2361,911,1381
4272,1290,888,2407,2155,889,1172
4384,1381,944,2539,2461,933,1327
5325,2191,1294,3408,3758,1445,1707
8079,3228,2217,5461,5544,2169,3305
11897,3888,2868,7345,6353,2819,5924
7974,2562,1675,4491,3782,1767,4153
5570,1693,889,2732,2336,1308,2229
5433,1554,852,2809,2246,1250,2011
5190,1336,716,2429,1935,1064,1735
1964,607,286,1006,717,450,742
679,221,143,355,259,159,256
28,7,6,7,9,5,0
0,2,0,0,8,2,0
374,485,114,447,463,339,305
613,912,290,1018,886,713,684
1317,1406,562,2132,1731,909,1079
2197,1683,710,2377,2080,1156,1244
3364,1687,944,2340,2182,1126,1239
5257,1762,1106,2745,2728,1221,1484
5757,1949,1167,3388,2944,1443,1522
6428,1801,1531,3527,3077,1369,1665
7174,1588,1479,3094,2710,1208,1552
7511,1484,1394,2952,2633,1224,1508
8388,1556,1568,3135,2999,1225,1777
10098,2110,1791,4295,3569,1500,2525
8971,1885,1545,3493,3231,1511,2464
6658,1382,966,2367,2287,1178,1948
5613,1179,773,1983,1727,947,1600
5706,1180,770,2149,1814,838,1607
4535,989,608,1875,1589,809,1374
1920,575,355,783,692,498,934
350,130,57,250,166,90,146
13,6,1,5,2,1,0
0,3,0,2,4,2,0
323,318,77,365,381,315,236
523,663,230,753,685,684,479
941,1026,400,1706,1285,612,778
1689,1279,536,1701,1593,814,939
2682,1337,735,1774,1926,784,960
4538,1583,1047,2175,2134,959,1216
4819,1573,1011,2706,2416,1009,1288
5310,1593,1391,2706,2596,1056,1342
6158,1561,1442,2464,2398,1027,1311
6517,1571,1361,2244,2624,915,1321
6814,1709,1462,2482,2702,1055,1484
7876,1962,1512,3259,2952,1264,1869
6796,1810,1300,2740,2733,1333,1785
5041,1427,785,1915,1970,1039,1492
4445,1064,654,1716,1541,981,1207
4105,1105,565,1645,1551,975,1142
2967,813,447,1170,1110,748,1095
997,441,154,595,467,353,439
329,137,65,271,161,66,138
15,11,1,4,3,0,0
0,4,0,0,4,0,0
501,988,259,645,1009,486,549
1927,3580,1473,3184,4538,2199,2669
5240,3483,3000,6498,3897,2737,6095
3218,1970,1271,3707,2843,1236,3316
2457,1233,744,2183,1748,777,1285
2833,1193,630,1916,1670,786,1108
3281,1193,727,2334,2122,789,1219
3301,1130,801,2502,1931,827,1232
3313,1085,682,1981,1767,708,1066
3437,1139,727,2263,1918,856,1256
3959,1978,1065,2856,2854,1129,1607
5946,2769,1935,4838,4654,1968,2898
8955,3649,2774,6828,5534,2539,5537
6022,2277,1478,4096,3347,1488,3982
4061,1451,678,2492,1986,897,1956
3667,1393,658,2406,1816,844,1394
2801,960,408,1721,1442,661,1136
816,365,165,574,461,297,447
379,119,79,235,191,85,153
19,15,1,9,5,0,2
0,0,0,0,7,0,0
520,1006,289,714,986,494,575
2010,3696,1535,3386,4486,2064,2631
5449,3665,3041,6573,4250,2791,6319
3251,2094,1314,3891,3091,1314,3239
2622,1499,709,2310,1986,840,1234
2997,1309,614,2007,1851,775,1066
3379,1256,725,2384,2187,930,1224
3454,1165,833,2463,2144,801,1200
3428,1171,744,2128,2070,732,1078
3510,1227,771,2273,2105,811,1181
3990,1952,1055,2954,2917,1204,1656
6295,2785,2002,5220,5077,2130,3141
9552,3687,2822,7375,5791,2688,5988
6413,2396,1602,4447,3523,1496,4001
4194,1531,811,2579,2237,958,1995
4119,1376,640,2784,1947,909,1612
3207,1073,498,2011,1601,714,1302
957,381,180,656,517,311,489
404,129,79,292,174,101,164
17,15,3,10,4,0,0
0,2,0,0,7,2,2
510,999,254,657,938,516,562
1972,3650,1582,3324,4002,2155,2806
5437,3614,3007,6460,3910,2710,6322
3251,2029,1204,3884,2458,1334,3139
2669,1369,767,2319,1818,831,1192
3217,1424,674,2191,1814,761,1053
3514,1338,749,2543,2057,927,1340
3656,1290,841,2629,2081,901,1314
3806,1200,788,2305,1828,693,1092
3762,1153,794,2377,1858,885,1201
4528,2030,1142,3078,2941,1214,1638
6700,2882,2013,5108,4695,1972,3114
9931,3744,2832,7270,5186,2452,5929
6606,2379,1574,4249,3338,1526,4144
4446,1569,797,2682,2113,983,1993
4550,1431,703,2714,1872,973,1761
3352,1164,466,2050,1475,705,1261
963,477,186,672,484,309,474
374,151,82,271,215,84,145
11,9,0,2,6,3,0
0,0,0,0,6,0,0
500,1034,326,704,1037,471,545
2066,3582,1593,3437,4279,2192,2942
5457,3691,3088,6551,4132,2849,6145
3328,2177,1261,3802,3198,1341,3224
2729,1370,773,2340,1900,860,1291
3144,1307,635,1943,1925,852,1035
3647,1328,822,2454,2301,904,1197
3511,1213,878,2461,2129,859,1246
3533,1115,755,2090,1932,795,1085
3760,1249,765,2348,2069,845,1249
4300,1994,1127,3159,3173,1160,1667
6470,2844,1952,5153,4955,2135,3039
9633,3880,2742,7323,5819,2814,5884
6550,2333,1611,4321,3563,1585,4111
4504,1552,787,2641,2134,916,1952
4624,1448,694,2658,2080,942,1737
3436,1059,476,2101,1586,709,1326
1039,447,175,655,550,362,533
779,264,163,424,294,185,314
26,11,4,5,7,6,1
0,0,0,0,6,2,0
499,1027,249,684,1022,486,563
1988,3615,1554,3436,4362,2151,2809
5510,3582,2919,6401,4068,2715,6059
3197,2027,1297,3727,2862,1301,3063
2945,1457,736,2390,2006,908,1379
3500,1478,652,2173,1969,843,1156
4029,1485,852,2681,2473,960,1384
4272,1355,1037,2749,2511,904,1400
4187,1299,793,2399,2205,854,1188
4349,1273,999,2595,2389,932,1333
5253,2285,1375,3298,3615,1355,1767
7900,3012,2083,5568,5257,2216,3129
12087,4148,2929,7647,6467,2708,6039
8526,2610,1792,4289,3823,1770,4312
5613,1664,972,2763,2319,1237,2290
5632,1544,820,2945,2291,1192,2043
5280,1452,672,2555,2029,996,1845
2067,635,321,938,785,445,819
924,304,195,434,3431,161,391
455,26,2,9,1777,9,1
0,0,0,0,12,0,2
394,465,116,471,591,379,308
641,990,320,1069,1089,757,776
1233,1574,583,2176,1849,913,1075
2101,1638,664,2332,2249,1031,1200
3237,1727,850,2268,2299,1094,1186
5130,1753,972,2650,2661,1258,1401
5524,1843,1115,3233,3040,1273,1555
6083,1784,1357,3379,3256,1304,1626
6776,1659,1400,2849,2959,1286,1528
7025,1548,1354,2842,3047,1163,1680
7807,1758,1546,3231,3544,1299,1888
9657,2280,1697,3917,5238,1554,2367
8826,2112,1584,3607,6027,1621,2812
6754,1621,1034,2527,4867,1218,2337
5902,1358,840,2022,4679,949,1688
5675,1357,820,2007,5666,1018,1974
4465,1143,644,1703,5303,829,1568
2007,717,389,887,4367,508,1054
490,126,78,205,923,86,146
15,9,3,3,5,1,0
0,0,0,2,17,0,0
369,368,96,433,971,315,278
521,879,226,805,1044,682,554
985,1082,468,1513,1381,583,773
1704,1379,495,1799,1819,820,897
2570,1327,625,1723,1844,801,960
4441,1571,854,2072,2140,924,1161
4653,1553,836,2358,2245,949,1286
4944,1446,1097,2608,2438,1033,1259
5817,1473,1163,2197,2465,962,1364
5928,1434,1166,2267,2407,962,1282
6280,1762,1226,2430,2561,1040,1497
7066,1935,1293,3327,3161,1202,1861
6216,1754,1083,2546,2872,1251,1863
5013,1424,890,1779,2200,1131,1646
4285,1288,703,1838,1873,946,1441
3791,1035,575,1549,1431,1018,1327
2710,845,394,1103,980,619,861
819,370,192,491,464,292,458
272,121,63,184,156,94,139
8,9,1,3,0,0,0
4,0,0,0,3,2,0
489,1034,282,700,1032,509,554
2003,3677,1512,3175,4512,2235,2846
5419,3521,2967,6490,4032,2736,6201
3255,1928,1178,3812,2818,1289,3106
2445,1360,702,2245,1727,791,1298
2658,1222,560,1944,1786,758,1019
3315,1165,627,2351,2083,760,1229
3080,1082,722,2338,1848,792,1234
3179,987,693,2061,1669,648,1049
3355,1122,750,2229,1906,784,1200
3803,1980,979,2877,2894,1151,1580
5775,2706,1950,4916,4652,2004,2854
8751,3655,2764,6817,5553,2687,5677
5927,2351,1564,4135,3412,1580,4018
3874,1423,741,2453,1932,834,1952
3611,1350,628,2265,1821,828,1494
2758,940,346,1674,1395,662,1020
777,373,148,541,457,281,459
354,124,57,212,155,96,140
17,9,1,8,6,0,0
2,4,0,4,5,0,0
490,1044,261,698,966,491,573
1934,3672,1517,3422,4407,2199,2928
5630,3687,2979,6611,4064,2777,6214
3253,2088,1225,3977,2849,1333,3226
2502,1320,658,2289,1805,793,1228
2696,1170,523,1865,1597,602,1004
3275,1222,743,2363,2081,788,1202
3386,1164,794,2523,1978,811,1260
3233,1081,706,2076,1807,666,1056
3342,1199,733,2238,1953,784,1191
3976,1973,1004,2978,3006,1160,1585
6053,2910,2002,5041,4728,1996,3040
9335,3646,2789,7225,5500,2728,5859
6143,2409,1589,4194,3369,1460,4032
4041,1471,752,2530,2032,893,2016
4099,1266,640,2557,1909,879,1594
3081,1115,445,2041,1488,720,1166
916,373,172,625,464,297,443
323,143,69,283,177,77,163
19,9,0,6,3,2,1
0,0,0,2,7,0,0
476,1011,274,684,922,524,577
2089,3652,1521,3427,4268,2266,2849
5574,3660,3141,6787,4090,2816,6263
3281,1989,1301,4189,3030,1299,3385
2724,1328,717,2331,1772,806,1293
2833,1338,590,2095,1794,732,1045
3630,1402,772,2605,2210,897,1286
3643,1248,829,2727,2110,869,1193
3571,1138,854,2229,1903,726,1133
3619,1194,878,2346,2055,922,1283
4385,2023,1047,3181,3130,1143,1652
6671,2952,1961,5249,4894,2012,3143
9934,3712,2894,7525,5643,2596,5761
6957,2454,1610,4450,3359,1577,4250
4590,1481,787,2663,2120,942,2102
4545,1434,671,2734,2060,977,1756
3478,1137,495,2197,1668,694,1165
1004,396,175,673,503,282,486
443,159,61,242,196,97,153
20,10,1,7,4,5,0
2,0,0,0,6,2,0
484,963,261,676,955,479,556
2005,3696,1541,3421,4244,2224,2781
5732,3699,3164,6696,4098,2832,6277
3970,2126,1283,4016,3012,1415,3443
3326,1424,757,2405,1929,934,1378
3622,1230,775,1940,1798,803,1060
4084,1300,757,2641,2418,955,1293
4350,1244,930,2647,2162,822,1248
4022,1194,759,2193,1991,707,1185
4289,1203,823,2324,2075,857,1264
4870,1985,1065,3006,3020,1155,1585
7227,3002,1895,5258,4819,2028,3068
10529,3959,2878,7423,6089,2691,5976
7305,2300,1551,4245,3457,1494,4105
4955,1587,782,2782,2168,982,2060
5005,1411,770,2719,2043,965,1737
3831,1139,466,2100,1595,733,1257
1568,445,172,695,553,324,493
779,251,104,436,270,182,245
36,18,3,11,8,5,0
0,0,0,0,9,0,0
479,936,233,642,909,435,566
1922,3549,1512,3308,4276,2092,2731
5505,3590,2870,6260,4068,2732,6109
3592,2071,1255,3948,2892,1312,3140
3263,1400,788,2584,1909,871,1289
3914,1271,637,2302,1885,890,1096
4439,1428,872,2938,2326,958,1316
4613,1426,943,2999,2346,1015,1369
4403,1267,925,2425,2144,941,1230
4720,1389,907,2718,2356,974,1377
5848,2339,1295,3419,3622,1487,1845
8194,3376,2089,5456,5542,2158,3416
12202,3903,2889,7421,6085,2760,5803
8658,2361,1621,4644,3518,1751,4244
5906,1568,947,2912,2233,1171,2126
5764,1529,841,2903,2156,1190,1793
5500,1284,651,2358,1864,957,1675
2245,578,294,979,734,496,688
775,209,173,330,284,149,252
30,14,7,7,1,1,0
0,2,0,0,4,0,2
350,429,110,430,419,353,324
507,752,246,739,787,665,645
1070,1148,427,1525,1513,722,834
2047,1492,621,2015,2001,1005,1007
3390,1669,840,2114,2272,1093,1089
5640,1781,989,2578,2715,1297,1355
5948,1713,1027,2816,2703,1244,1379
6593,1733,1258,2992,2794,1332,1446
7201,1641,1236,2695,2681,1236,1440
8428,1610,1454,2818,2794,1319,1572
8870,1614,1580,2903,3104,1320,1717
9755,2119,1540,3556,3353,1511,2196
8681,1816,1323,3167,2958,1374,2329
6675,1462,953,2224,2208,1067,1944
5658,1105,793,1797,1826,942,1495
5691,1214,762,1843,1987,935,1602
4876,1029,652,1698,1541,878,1622
2274,569,264,796,735,429,710
570,176,115,350,240,182,228
23,16,4,8,5,2,1
0,0,0,2,6,2,0
281,344,79,310,378,285,246
390,636,218,554,687,641,492
816,1036,417,1097,1116,507,646
1646,1318,529,1442,1933,693,905
2971,1545,699,1534,2175,891,1013
5109,1775,1057,2031,2789,1074,1405
5245,1581,960,2105,2567,1014,1318
5772,1669,1314,2259,2852,1138,1383
6852,1615,1342,2148,2900,1126,1438
7565,1672,1435,2135,2888,1064,1448
8262,1653,1473,2268,2921,1111,1611
9142,1905,1550,2701,3532,1300,2337
7979,1683,1415,2567,3053,1441,2235
6291,1400,1048,1988,2247,1213,1999
5640,1169,761,1805,2001,1005,1895
5667,1071,706,1762,1875,929,1783
4177,873,578,1324,1167,788,1173
1806,528,267,683,606,480,680
349,133,90,209,183,74,135
11,11,3,1,4,2,3
0,0,0,2,5,0,0
306,334,106,317,323,265,242
423,576,211,552,618,613,452
707,802,299,860,1036,400,585
1299,1049,406,1256,1418,589,803
2617,1084,593,1378,1909,634,971
4616,1395,863,1883,2231,923,1076
4740,1374,802,2030,2301,889,1142
5101,1381,968,2041,2426,878,1226
6248,1660,1055,2248,2565,929,1232
6623,1559,1144,2156,2468,1013,1342
6883,1630,1166,2124,2703,1058,1530
7236,1860,1205,2614,3065,1198,1787
6050,1649,1103,2267,2765,1227,1686
4894,1301,790,1859,2088,973,1526
4179,1170,648,1747,1654,930,1349
3888,1033,492,1504,1495,990,1295
2974,839,396,1102,1113,658,943
1291,411,208,511,528,302,520
348,144,55,205,165,89,146
22,9,4,12,2,0,0
2,1,2,0,6,0,0
463,990,274,695,1002,507,518
1985,3541,1521,3180,4321,2174,2806
5589,3643,2927,6513,4127,2832,6120
3216,2098,1268,3984,2963,1347,3297
2620,1457,686,2533,1892,924,1255
2971,1391,652,1988,1829,772,1075
3533,1341,736,2407,2207,868,1245
3759,1250,822,2596,2234,854,1299
3701,1277,819,2201,1992,709,1126
3770,1268,826,2464,1976,801,1198
4326,2002,1052,2995,3092,1084,1591
6447,2947,1944,4784,4940,2147,3061
9592,3597,2881,7194,5551,2668,5822
6419,2362,1492,4149,3348,1508,4186
4213,1475,701,2507,1966,979,2040
4068,1339,598,2552,1982,958,1598
2954,1024,423,1832,1449,669,1084
1136,346,153,614,482,304,456
359,139,73,243,157,92,165
9,9,1,4,4,1,1
0,0,0,0,5,0,0
512,999,237,629,932,493,548
1975,3674,1497,3163,4480,2159,2823
5636,3649,3087,6580,4040,2787,6411
3360,2050,1310,4143,2821,1291,3419
2775,1382,739,2384,1781,814,1405
3183,1297,677,2156,1742,905,1148
3783,1419,823,2633,2271,1017,1294
3814,1385,880,2727,2226,941,1299
3796,1217,723,2287,1966,759,1134
3950,1252,838,2474,2072,803,1297
4729,2219,1061,3139,3301,1199,1686
6957,2934,1896,5337,4988,2001,3028
10129,3633,2850,7476,5587,2531,5788
7044,2298,1556,4474,3325,1569,4512
4481,1444,781,2691,2162,993,1993
4688,1445,677,2838,2035,985,1610
3521,1030,506,2024,1548,659,1273
1163,396,173,645,479,286,441
384,138,72,257,165,110,172
12,9,2,3,1,2,0
0,2,0,0,10,0,0
457,1007,246,672,942,534,547
1996,3758,1531,3376,4401,2071,2794
5608,3668,3040,6685,4022,2808,6406
3479,2336,1303,4114,3007,1445,3310
2925,1406,840,2425,1814,919,1303
3251,1325,690,1981,1723,963,1100
3940,1484,722,2510,2322,991,1278
3848,1514,812,2564,2557,882,1273
3847,1321,745,2299,2207,764,1088
4056,1379,781,2392,2153,843,1255
4654,2278,1130,3301,3104,1329,1667
6934,2811,2023,5130,4645,2036,3130
10028,3726,2784,7300,5552,2490,5779
6836,2396,1608,4403,3474,1479,4118
4729,1511,830,2677,2106,972,2175
4676,1286,672,2913,2113,1047,1742
3730,1033,465,2026,1560,712,1318
1130,420,187,754,525,334,499
762,273,153,474,453,197,237
32,21,8,9,8,4,0
2,2,0,0,8,0,0
481,1001,265,704,854,456,547
1919,3645,1483,3469,4279,2164,2751
5682,3664,3049,6645,4268,2792,6367
3472,2062,1322,4061,2911,1315,3346
3014,1457,784,2493,2004,852,1314
3781,1417,734,2068,1877,856,1132
4092,1488,857,2773,2316,944,1430
4402,1464,1050,2913,2425,1008,1491
4468,1365,957,2525,2110,913,1299
4639,1342,972,2686,2415,979,1462
5800,2286,1344,3579,3630,1370,1932
8445,3103,2157,5704,5406,2254,3568
12527,4042,3024,7462,6144,2807,6090
9095,2622,1771,4566,3643,1679,4537
6123,1686,954,2926,2330,1186,2293
6214,1646,816,3057,2338,1253,2062
5406,1285,733,2504,2001,1018,1880
2242,556,284,1080,840,556,789
716,212,162,406,326,166,215
34,19,5,13,8,6,0
0,1,0,0,6,0,0
360,406,125,412,425,389,294
664,789,368,933,986,803,653
1374,1271,596,2229,1809,879,1005
2164,1436,676,2478,2043,1062,1132
3395,1461,782,2202,2165,1101,1173
5421,1629,913,2697,2357,1176,1302
5835,1561,1063,3572,2789,1453,1474
6828,1619,1329,3573,3094,1399,1684
7167,1406,1351,2988,2577,1172,1450
7709,1351,1318,2833,2370,1173,1384
8979,1507,1454,3510,2881,1160,1737
10326,1933,1687,4165,3485,1469,2155
9314,1801,1396,3785,3046,1549,2076
6976,1313,1015,2618,2266,1158,1660
6242,1050,805,1962,1777,984,1393
6011,1109,767,2127,1798,966,1485
4869,1053,602,1907,1435,743,1225
2086,504,331,892,704,454,610
313,134,67,204,165,90,152
295,270,89,321,266,261,219
499,527,275,689,634,535,453
943,770,471,1376,1205,501,704
1628,982,574,1811,1551,661,795
2708,1001,854,1610,1578,670,838
4573,1382,888,2096,1785,832,1076
4627,1249,853,2325,2102,886,1247
4789,1329,982,2628,2145,862,1157
5151,1148,983,1958,1767,713,1127
5331,1034,909,1860,1765,678,1041
5705,1234,1039,2173,1987,747,1120
6386,1405,1197,2806,2274,1005,1463
5363,1221,1028,2338,2028,988,1342
4212,1015,655,1720,1451,886,1101
3678,816,582,1454,1287,733,854
3412,755,450,1404,1187,721,853
2891,731,336,1071,863,586,628
847,299,143,504,384,282,360
347,117,84,242,183,91,165
20,13,2,7,2,9,1
2,0,0,0,6,0,0
482,923,276,647,910,518,542
1977,3400,1524,3232,4279,2267,2761
5791,3423,3151,6799,4074,2921,6298
3384,1869,1318,3921,2815,1465,3274
2669,1153,712,2267,1659,837,1217
2852,1036,632,1928,1519,758,1067
