"mrt_flow.中山","mrt_flow.北投","mrt_flow.北門","mrt_flow.古亭","mrt_flow.士林","mrt_flow.大橋頭","mrt_flow.松山"
1547,2436,1227,2547,2738,1444,2272
4477,2698,2535,5262,3216,2229,4981
2740,1464,1063,2861,1798,1122,2510
2373,1128,580,1765,1431,650,1113
2654,1042,588,1768,1394,662,988
3006,1165,682,2040,1656,720,1118
3132,1092,877,2151,1916,754,1107
3340,1029,725,1934,1641,691,1031
3661,1032,705,1963,1587,775,1155
4056,1680,966,2558,2215,937,1421
5907,2302,1630,3977,3484,1653,2420
9367,2929,2469,5943,4133,2185,4679
6773,2027,1548,3766,2792,1501,3510
4319,1290,717,2266,1709,952,1632
4141,1080,656,2212,1550,809,1410
3871,970,507,1737,1299,706,1115
1398,419,226,811,552,353,510
540,184,88,307,252,145,169
17,16,1,7,4,3,0
2,0,0,4,3,0,0
303,320,91,327,351,244,239
434,673,209,743,701,468,518
848,1014,366,1480,1247,618,741
1614,1237,452,2098,1522,813,901
2418,1367,601,1847,1640,881,883
3697,1463,661,1984,1812,981,1047
4212,1480,777,2765,2019,1006,1161
4710,1412,906,2656,2115,1024,1253
4965,1392,1031,2485,2127,1006,1233
5359,1224,1020,2385,1993,965,1185
6122,1356,1107,2674,2038,1099,1335
6785,1649,1154,2918,2556,1144,1587
6067,1340,980,2748,2293,1048,1569
4930,1125,774,1879,1577,912,1289
4214,888,583,1527,1351,722,1049
4086,860,454,1625,1391,695,1092
3441,723,487,1354,1085,583,928
1306,473,219,678,485,346,481
280,96,50,174,130,71,114
268,234,83,273,269,196,216
343,482,155,508,526,406,344
659,718,294,1120,803,387,517
1221,980,362,1384,1121,560,650
1948,1131,458,1339,1369,651,671
2897,1154,603,1554,1387,720,798
3377,1110,658,1853,1603,732,974
3724,1119,692,2015,1506,768,922
4019,1002,739,1684,1623,725,970
4477,1005,691,1645,1439,808,914
4648,1072,791,1885,1609,799,1004
5073,1126,816,2195,1894,945,1331
4385,1138,681,1820,1604,815,1233
3717,976,534,1378,1255,720,1091
2957,811,496,1252,1134,656,944
3097,703,415,1198,1095,729,955
2236,610,316,883,819,508,746
690,323,136,436,348,278,436
241,93,44,182,128,68,144
21,9,0,6,4,1,0
0,0,0,4,12,0,2
450,892,223,588,824,466,539
1669,2705,1311,2708,2915,1657,2336
4545,2872,2487,5258,3120,2277,5229
2678,1459,1044,2963,1774,987,2561
2069,1046,591,1730,1378,605,1087
2278,1099,522,1557,1393,607,962
2787,1064,627,1834,1438,645,955
2765,1051,684,1859,1481,695,949
2824,886,666,1805,1359,569,986
2923,943,678,1768,1467,657,1042
3400,1573,822,2355,2075,1016,1311
4772,2211,1534,3822,3271,1581,2503
7290,3054,2281,5601,3930,2043,4633
5062,2015,1387,3316,2480,1263,3448
3301,1111,651,1910,1498,766,1670
2967,865,467,1711,1338,683,1149
2120,665,297,1279,957,523,829
673,304,120,458,364,242,407
251,96,40,196,116,74,131
14,12,4,4,4,1,0
0,0,0,0,7,0,0
458,833,226,623,802,427,503
1721,2799,1349,2734,2988,1711,2374
4582,3026,2536,5435,3223,2316,5218
2752,1568,1066,2918,1881,1119,2591
2222,1157,619,1855,1518,713,1038
2547,1096,515,1787,1362,699,903
2811,999,655,1877,1596,693,1020
2890,1067,636,1988,1654,699,1080
2934,948,631,1907,1498,617,948
3067,1035,636,1901,1508,734,1010
3430,1600,854,2464,2222,1050,1296
4913,2268,1515,4043,3436,1537,2432
7514,3034,2341,5887,4112,2138,4812
5222,1993,1363,3560,2574,1277,3549
3443,1168,626,2089,1590,747,1708
3207,981,458,1941,1366,715,1216
2445,763,420,1484,1011,574,964
718,333,148,498,363,250,419
301,115,66,212,140,85,130
7,6,2,9,1,1,0
0,0,0,0,5,2,0
424,836,232,570,770,390,520
1644,2644,1297,2716,2934,1660,2390
4733,2928,2580,5649,3259,2355,5241
2818,1519,1044,3095,1907,1153,2669
2325,1101,562,1829,1355,694,1046
