UpdateTime,SrcUpdateTime,fileinfo,fileURL
2022-01-25T00:12:05+08:00,2022-01-10T00:12:05+08:00,2021年6月,https://tcgbusfs.blob.core.windows.net/dotapp/youbike_second_ticket_opendata/2021/2021-06/202106_YouBike2.0票證刷卡資料.zip
2022-01-25T00:12:05+08:00,2021-06-29T00:00:00+08:00,2021年5月,https://tcgbusfs.blob.core.windows.net/dotapp/youbike_second_ticket_opendata/2021/2021-05/202105_YouBike2.0票證刷卡資料.zip
2022-01-25T00:12:05+08:00,2021-06-29T00:00:00+08:00,2021年4月,https://tcgbusfs.blob.core.windows.net/dotapp/youbike_second_ticket_opendata/2021/2021-04/202104_YouBike2.0票證刷卡資料.zip
2022-01-25T00:12:05+08:00,2021-06-29T00:00:00+08:00,2021年3月,https://tcgbusfs.blob.core.windows.net/dotapp/youbike_second_ticket_opendata/2021/2021-03/202103_YouBike2.0票證刷卡資料.zip
2022-01-25T00:12:05+08:00,2021-06-29T00:00:00+08:00,2021年2月,https://tcgbusfs.blob.core.windows.net/dotapp/youbike_second_ticket_opendata/2021/2021-02/202102_YouBike2.0票證刷卡資料.zip
2022-01-25T00:12:05+08:00,2021-04-16T00:00:00+08:00,2021年1月,https://tcgbusfs.blob.core.windows.net/dotapp/youbike_second_ticket_opendata/2021/2021-01/202101_YouBike2.0票證刷卡資料.zip
2022-01-25T00:12:05+08:00,2021-04-16T00:00:00+08:00,2020年12月,https://tcgbusfs.blob.core.windows.net/dotapp/youbike_second_ticket_opendata/2020/2020-12/202012_YouBike2.0票證刷卡資料.zip
2022-01-25T00:12:05+08:00,2021-04-16T00:00:00+08:00,2020年11月,https://tcgbusfs.blob.core.windows.net/dotapp/youbike_second_ticket_opendata/2020/2020-11/202011_YouBike2.0票證刷卡資料.zip
2022-01-25T00:12:05+08:00,2021-04-16T00:00:00+08:00,2020年10月,https://tcgbusfs.blob.core.windows.net/dotapp/youbike_second_ticket_opendata/2020/2020-10/202010_YouBike2.0票證刷卡資料.zip
2022-01-25T00:12:05+08:00,2021-04-16T00:00:00+08:00,2020年9月,https://tcgbusfs.blob.core.windows.net/dotapp/youbike_second_ticket_opendata/2020/2020-09/202009_YouBike2.0票證刷卡資料.zip
2022-01-25T00:12:05+08:00,2021-04-16T00:00:00+08:00,2020年8月,https://tcgbusfs.blob.core.windows.net/dotapp/youbike_second_ticket_opendata/2020/2020-08/202008_YouBike2.0票證刷卡資料.zip
2022-01-25T00:12:05+08:00,2021-04-16T00:00:00+08:00,2020年7月,https://tcgbusfs.blob.core.windows.net/dotapp/youbike_second_ticket_opendata/2020/2020-07/202007_YouBike2.0票證刷卡資料.zip
2022-01-25T00:12:05+08:00,2021-04-16T00:00:00+08:00,2020年6月,https://tcgbusfs.blob.core.windows.net/dotapp/youbike_second_ticket_opendata/2020/2020-06/202006_YouBike2.0票證刷卡資料.zip
2022-01-25T00:12:05+08:00,2021-04-16T00:00:00+08:00,2020年5月,https://tcgbusfs.blob.core.windows.net/dotapp/youbike_second_ticket_opendata/2020/2020-05/202005_YouBike2.0票證刷卡資料.zip
2022-01-25T00:12:05+08:00,2021-04-16T00:00:00+08:00,2020年4月,https://tcgbusfs.blob.core.windows.net/dotapp/youbike_second_ticket_opendata/2020/2020-04/202004_YouBike2.0票證刷卡資料.zip
